CAT	NAME	CODE	#INF	#OUTF	INFLOWS	OUTFLOWS
INDUSTRIAL						
	Unsustainable Harvesting	UNS	1	5	MAR	CHE,FRE,LAN,INE,NIT
	Polluting Industry	POL	2	3	MON,MAR	INE,AIR,CHE
	Fossil Fuel Dependency	FOS	0	4		NIT,OCE,CLI,CHE
	Sprawl	SPR	1	3	AFF	AFF,LAN,INE
ECONOMIC						
	Inflation	INF	2	1	ECO,SYS	ECO
	Monopoly	MON	1	3	SYS	MAR,POL,INE
	Market Externalities	MAR	1	4	MON	INE,POL,UNS,ECO
	Inefficiency	INE	6	0	UNS,MON,POL,MAR,SPR,SYS	
SOCIAL						
	Social Inequity	SOC	10	4	ECO,DIS,CLI,SYS,HEA,POL,AFF,PEA,COM,FOO	COM,POL,EDU,PEA
	Education	EDU	4	0	LOW,SOC,ENE,HEA	
	Political Voice	POL	3	2	LOW,SOC,AFF	SOC,COM
	Peace & Justice	PEA	3	2	SOC,SYS,AFF	SOC,COM
	Community Networks	COM	5	2	SOC,POL,AFF,PEA,FOO	SOC,HEA
CLASS						
	Energy Shortage	ENE	2	2	CLI,FRE	AFF,EDU
	Healthcare	HEA	7	3	CHE,CLI,LOW,AIR,CLE,COM,FOO	SOC,AFF,EDU
	Affordable Housing	AFF	4	5	ECO,SPR,ENE,HEA	SOC,COM,POL,SPR,PEA
	Clean Water Shortage	CLE	1	1	FRE	HEA
	Food Shortage	FOO	5	3	LAN,CLI,NIT,FRE,OCE	SOC,HEA,COM
ENVIRONMENTAL						
	Biodiversity Loss	BIO	5	0	LAN,CHE,CLI,NIT,OCE	
	Chemical Pollution	CHE	3	3	UNS,POL,FOS	HEA,BIO,FRE
	Climate Change	CLI	1	7	FOS	SOC,FRE,ENE,LAN,FOO,BIO,HEA
	Freshwater Depletion	FRE	3	3	UNS,CHE,CLI	CLE,FOO,ENE
	Air & Ozone Degradation	AIR	1	1	POL	HEA
	Ocean Degradation	OCE	1	2	FOS	FOO,BIO
	Land Conversion	LAN	3	2	UNS,SPR,CLI	FOO,BIO
	Nitrogen & Phosphorous Loading	NIT	2	2	UNS,FOS	FOO,BIO
LIVING STANDARDS						
	Economic Inequality	ECO	5	3	INF,MAR,DIS,LOW,SYS	INF,SOC,AFF
	Discrimination	DIS	1	2	LOW	SOC,ECO
	Low Labour Standards	LOW	0	5		DIS,ECO,POL,EDU,HEA
	Systemic Corruption	SYS	0	6		SOC,ECO,INF,MON,INE,PEA
